Channel,BW(in MHz),MCS,Guard interval(in us)
5,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
21,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
37,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
53,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
69,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
85,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
101,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
117,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
133,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
149,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
165,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
181,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
197,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
213,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
229,20/40/80/160/320/Adapt,0/1/2/3/4/5/6/7/8/9/10/11/12/13/Adapt,0.8/1.6/3.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
